nome,telefone,email
Maria Silva,11987654321,maria.silva@email.com
Ana Santos,11976543210,ana.santos@email.com
Juliana Costa,11965432109,juliana.costa@email.com
Fernanda Lima,11954321098,fernanda.lima@email.com
Carolina Rocha,11943210987,carolina.rocha@email.com
Patricia Souza,11932109876,patricia.souza@email.com
Beatriz Oliveira,11921098765,beatriz.oliveira@email.com
Camila Ferreira,11910987654,camila.ferreira@email.com
Rafaela Alves,11909876543,rafaela.alves@email.com
Larissa Martins,11998765432,larissa.martins@email.com
